"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"424",424,423,18,"Compass","1.4 Limited (O) At Petrol Black Pack",1368,6,4,"BS 6",60,"Petrol",1640,4395,1818,5,94.0801963534362,16.3,1562,4,179.415557830092,1520,1526.37732656514,"162PS@3750rpm","250Nm@1750-2500rpm",5,"Automatic",2636,389.766699410609,13.1699326599327
"425",425,424,18,"Compass","2.0 Limited (O) Black Pack",1956,6,4,"BS 6",60,"Diesel",1640,4395,1818,5,94.0801963534362,17.1,1562,3.03012048192771,179.415557830092,1520,1526.37732656514,"173PS@3750rpm","350Nm@1750-2500rpm",5,"Manual",2636,389.766699410609,13.1699326599327
"426",426,425,18,"Compass","2.0 Limited (O) 4X4 Black Pack",1956,6,4,"BS 6",60,"Diesel",1640,4395,1818,5,94.0801963534362,16.3,1641,3.03012048192771,179.415557830092,1520,1526.37732656514,"173PS@3750rpm","350Nm@1750-2500rpm",5,"Manual",2636,389.766699410609,13.1699326599327
"427",427,426,18,"Compass","2.0 Limited Plus 4X4 At",1956,6,4,"BS 6",60,"Diesel",1640,4395,1818,5,94.0801963534362,17.1,1562,7,179.415557830092,1520,1526.37732656514,"173PS@3750rpm","350Nm@1750-2500rpm",5,"Automatic",2636,389.766699410609,13.1699326599327
"428",428,427,18,"Compass","2.0 Longitude 4X4 At",1956,6,4,"BS 6",60,"Diesel",1640,4395,1818,5,94.0801963534362,17.1,1551,7,179.415557830092,1520,1526.37732656514,"173PS@3750rpm","350Nm@1750-2500rpm",5,"Automatic",2636,389.766699410609,13.1699326599327
"429",429,428,37,"Corolla Altis","G Petrol",1798,4,4,"BS IV",55,"Petrol",1475,4620,1775,4,9.5,16.7,1220,3,175,1530,1535,"140PS@6400rpm","173Nm@4000rpm",5,"Manual",2700,470,5.4
"430",430,429,37,"Corolla Altis","G At Petrol",1798,4,4,"BS IV",55,"Petrol",1475,4620,1775,4,9.5,16.7,1260,4,175,1530,1535,"140PS@6400rpm","173Nm@4000rpm",5,"Automatic",2700,470,5.4
"431",431,430,37,"Corolla Altis","Gl Petrol",1798,4,4,"BS IV",55,"Petrol",1475,4620,1775,4,9.5,16.7,1280,3,175,1515,1520,"140PS@6400rpm","173Nm@4000rpm",5,"Manual",2700,470,5.4
"432",432,431,37,"Corolla Altis","Gl Diesel",1364,4,4,"BS IV",43,"Diesel",1475,4620,1775,4,18.2,21,1270,3,175,1530,1535,"88.4PS@3800rpm","205Nm@1800-2800rpm",5,"Manual",2700,470,5.4
"433",433,432,37,"Corolla Altis","G Diesel",1364,4,4,"BS IV",43,"Diesel",1475,4620,1775,4,18.4,21,1230,3,175,1530,1535,"88.4PS@3800rpm","205Nm@1800-2800rpm",5,"Manual",2700,470,5.4
